X, Ch1,
408,-6.000000e-02,
409,1.000000e-01,
410,-4.000000e-02,
411,1.000000e-01,
412,1.000000e-01,
413,-4.000000e-02,
414,-6.000000e-02,
415,1.000000e-01,
416,-4.000000e-02,
417,1.000000e-01,
418,1.000000e-01,
419,-4.000000e-02,
420,-4.000000e-02,
421,8.000000e-02,
422,-4.000000e-02,
423,8.000000e-02,
424,8.000000e-02,
425,-4.000000e-02,
426,1.000000e-01,
427,-6.000000e-02,
428,-6.000000e-02,
429,8.000000e-02,
430,-4.000000e-02,
431,1.000000e-01,
432,-4.000000e-02,
433,1.000000e-01,
434,-4.000000e-02,
435,1.000000e-01,
436,-4.000000e-02,
437,1.200000e-01,
438,0.000000e+00,
439,1.600000e-01,
440,2.000000e-02,
441,2.000000e-01,
442,1.200000e-01,
443,3.000000e-01,
444,2.000000e-01,
445,3.800000e-01,
446,4.000000e-01,
447,2.200000e-01,
448,3.200000e-01,
449,8.000000e-02,
450,1.600000e-01,
451,-4.000000e-02,
452,4.000000e-02,
453,-1.600000e-01,
454,-6.000000e-02,
455,-2.600000e-01,
456,-1.800000e-01,
457,-3.000000e-01,
458,-3.000000e-01,
459,-1.400000e-01,
460,-2.400000e-01,
461,-6.000000e-02,
462,-1.600000e-01,
463,2.000000e-02,
464,-1.000000e-01,
465,4.000000e-02,
466,-8.000000e-02,
467,6.000000e-02,
468,-6.000000e-02,
469,8.000000e-02,
470,8.000000e-02,
471,-6.000000e-02,
472,-4.000000e-02,
473,8.000000e-02,
474,-4.000000e-02,
475,1.200000e-01,
476,-4.000000e-02,
477,8.000000e-02,
478,-4.000000e-02,
479,1.000000e-01,
480,-4.000000e-02,
481,1.000000e-01,
482,-4.000000e-02,
483,8.000000e-02,
484,-4.000000e-02,
485,8.000000e-02,
486,8.000000e-02,
487,-4.000000e-02,
488,-4.000000e-02,
489,8.000000e-02,
490,8.000000e-02,
491,-4.000000e-02,
492,8.000000e-02,
493,-4.000000e-02,
494,-4.000000e-02,
495,1.200000e-01,
496,-4.000000e-02,
497,8.000000e-02,
498,-4.000000e-02,
499,8.000000e-02,
500,-6.000000e-02,
501,1.000000e-01,
502,-6.000000e-02,
503,8.000000e-02,
504,-6.000000e-02,
505,8.000000e-02,
506,-6.000000e-02,
507,1.000000e-01,
508,8.000000e-02,
